INFO  2022-10-06 00:19:07,938 AbstractBat(31) NotifyMailBat is start.
INFO  2022-10-06 00:19:08,066 NotifyMailBat(52) Notify process started.
INFO  2022-10-06 00:19:08,870 NotifyMailBat(70) Notify process finished. count: 0
INFO  2022-10-06 00:19:08,873 NotifyMailBat(72) Notify event started.
INFO  2022-10-06 00:19:09,157 NotifyMailBat(74) Notify event finished.
INFO  2022-10-06 00:19:09,159 AbstractBat(43) Finished
INFO  2022-10-06 03:07:47,234 AbstractBat(31) NotifyMailBat is start.
INFO  2022-10-06 03:07:47,355 NotifyMailBat(52) Notify process started.
INFO  2022-10-06 03:07:48,090 NotifyMailBat(70) Notify process finished. count: 0
INFO  2022-10-06 03:07:48,092 NotifyMailBat(72) Notify event started.
INFO  2022-10-06 03:07:48,366 NotifyMailBat(74) Notify event finished.
INFO  2022-10-06 03:07:48,369 AbstractBat(43) Finished
INFO  2022-10-06 05:55:14,254 AbstractBat(31) NotifyMailBat is start.
INFO  2022-10-06 05:55:14,378 NotifyMailBat(52) Notify process started.
INFO  2022-10-06 05:55:15,238 NotifyMailBat(70) Notify process finished. count: 0
INFO  2022-10-06 05:55:15,241 NotifyMailBat(72) Notify event started.
INFO  2022-10-06 05:55:15,545 NotifyMailBat(74) Notify event finished.
INFO  2022-10-06 05:55:15,550 AbstractBat(43) Finished
